Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1991","1991","tonnes","30","F","FAO estimate",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1992","1992","ha","0","F","FAO estimate",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1992","1992","tonnes","0","F","FAO estimate",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1993","1993","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1993","1993","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1994","1994","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1994","1994","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1995","1995","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1995","1995","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1996","1996","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1996","1996","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1997","1997","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1997","1997","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1998","1998","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1998","1998","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1999","1999","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1999","1999","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2000","2000","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2000","2000","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2001","2001","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2001","2001","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2002","2002","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2002","2002","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2003","2003","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2003","2003","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2004","2004","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2004","2004","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2005","2005","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2005","2005","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2006","2006","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2006","2006","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2007","2007","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2007","2007","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2008","2008","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2008","2008","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2009","2009","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2009","2009","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2010","2010","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2010","2010","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2011","2011","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2011","2011","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2012","2012","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2012","2012","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2013","2013","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2013","2013","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2014","2014","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2014","2014","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2015","2015","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2015","2015","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2016","2016","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2016","2016","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2017","2017","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2017","2017","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","2018","2018","ha","","M","Data not available",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2018","2018","tonnes","","M","Data not available",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1961","1961","ha","81","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1961","1961","hg/ha","100370","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1961","1961","tonnes","813","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1962","1962","ha","69","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1962","1962","hg/ha","103043","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1962","1962","tonnes","711","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1963","1963","ha","93","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1963","1963","hg/ha","87419","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1963","1963","tonnes","813","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1964","1964","ha","81","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1964","1964","hg/ha","95309","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1964","1964","tonnes","772","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1965","1965","ha","81","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1965","1965","hg/ha","100370","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1965","1965","tonnes","813","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1966","1966","ha","81","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1966","1966","hg/ha","100370","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1966","1966","tonnes","813","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1967","1967","ha","81","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1967","1967","hg/ha","100370","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1967","1967","tonnes","813","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1968","1968","ha","81","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1968","1968","hg/ha","100370","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1968","1968","tonnes","813","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1969","1969","ha","60","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1969","1969","hg/ha","100000","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1969","1969","tonnes","600","F","FAO estimate",""
"QC","Crops","200","Singapore","5312","Area harvested","414","Beans, green","1970","1970","ha","40","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","414","Beans, green","1970","1970","hg/ha","100000","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","414","Beans, green","1970","1970","tonnes","400","F","FAO estimate",""
